INDEX,DATE,INDUTY_NM,BRTC_NM,SIGUNGU_NM,EMD,LA_DCMLPOINT_VALUE,LO_DCMLPOINT_VALUE,DIVISION
4,20200101,돼지국밥,경남,창원시 마산합포구,현동,35.147***,128.557***,1
11,20200101,한식,강원,영월군 영월읍,영흥리,37.187***,128.473***,1
16,20200102,삼계탕,제주,제주시 조천읍,함덕리,33.543***,126.655***,1
18,20200102,스파게티,경기도,부천시 ,중동,37.501***,126.775***,0
22,20200102,중국음식,광주,북구,용두동,35.213***,126.876***,1
27,20200102,햄버거,경기,용인시 처인구,완장리,37.156***,127.173***,1
29,20200103,카페,서울,마포구,상암동,37.580***,126.889***,0
32,20200104,꽈배기전문,전남,광양시 광양읍,용강리,34.975***,127.607***,1
33,20200104,돼지갈비,전남,여수시 ,미평동,34.771***,127.709***,1
35,20200104,복어요리,경북,칠곡군 왜관읍,석전리,35.999***,128.402***,1
45,20200104,치킨,경기,평택시 ,이충동,37.059***,127.065***,1
46,20200104,한식,강원,강릉시 ,교동,37.761***,128.885***,1
47,20200104,한식,전북,전주시 완산구,효자동3가,35.822***,127.101***,1
56,20200105,치킨,부산,기장군 정관읍,매학리,35.320***,129.183***,1
57,20200106,김밥,인천,남동구,구월4동,37.454***,126.719***,0
83,20200108,한식,강원,고성군 간성읍,신안리,38.378***,128.478***,1
87,20200109,돼지국밥,경북,성주군 용암면,상언리,35.838***,128.336***,1
88,20200109,떡볶이,전북,전주시 완산구,효자동2가,35.811***,127.094***,0
97,20200109,카페-디저트,서울,종로구,적선동,37.574***,126.973***,0
99,20200109,한식,인천,남동구,만수동,37.445***,126.737***,0
108,20200111,한식,인천,강화군 선원면,금월리,37.706***,126.481***,1
127,20200114,중국음식,경기,하남시 ,망월동,37.568***,127.184***,1
146,20200115,치킨,경북,구미시 ,봉곡동,36.150***,128.309***,0
154,20200117,떡볶이,대구,남구,대명4동,35.849***,128.571***,1
164,20200117,치킨,경기,남양주시 ,평내동,37.646***,127.236***,1
165,20200117,치킨,전북,부안군 부안읍,봉덕리,35.722***,126.741***,1
166,20200117,한식,서울,서초구,서초동,37.487***,127.013***,1
167,20200117,한식,강원,동해시 ,천곡동,37.520***,129.110***,1
168,20200117,한식,전남,목포시 ,용당동,34.805***,126.401***,1
169,20200117,한우고기,경북,포항시 남구,대도동,36.027***,129.364***,1
180,20200119,다슬기요리,경남,김해시 한림면,신천리,35.278***,128.833***,1
192,20200120,야식,서울,송파구,방이동,37.512***,127.111***,0
195,20200120,치킨,경기,수원시 팔달구,화서동,37.284***,126.991***,0
201,20200121,육류.고기요리,경남,진주시 ,하대동,35.193***,128.122***,0
208,20200122,분식,서울,송파구,잠실동,37.506***,127.085***,1
212,20200122,양식,전남,목포시 ,상동,34.813***,126.414***,1
213,20200122,육류.고기요리,충남,당진시 면천면,성상리,36.816***,126.667***,1
215,20200122,치킨,경북,구미시 ,인의동,36.100***,128.427***,1
216,20200122,한식,서울,성동구,홍익동,37.565***,127.030***,1
217,20200122,한식,충남,천안시 서북구,쌍용1동,36.801***,127.130***,1
225,20200123,분식,대구,북구,대현동,35.883***,128.610***,1
